recv_unix,latency_ms
1773997770.6294694,1842.6240234375
1773997771.712089,527.3344116210938
1773997772.08418,511.4291687011719
1773997773.2770832,1102.920166015625
1773997775.6152828,997.9317626953125
1773997776.177603,305.304931640625
1773997778.2452393,267.0677795410156
1773997778.9080448,338.0643005371094
1773997781.380876,398.9683837890625
1773997781.6603892,189.90895080566406
1773997781.9152908,246.00733947753906
1773997782.1576655,83.7587890625
1773997782.5557108,269.21771240234375
1773997784.5612922,189.25221252441406
1773997784.9042299,135.28370666503906
1773997785.050883,79.25716400146484
1773997785.147795,78.24995422363281
1773997785.2473776,79.00216674804688
1773997785.3571954,87.94258117675781
1773997785.620072,249.45333862304688
1773997785.7971041,123.90704345703125
1773997786.3656447,92.58474731445312
1773997786.5536227,84.20308685302734
1773997786.8625338,93.98995971679688
1773997787.1546042,83.26795959472656
1773997787.3599935,90.53421020507812
1773997787.4951808,125.19654083251953
1773997787.585779,115.26287841796875
1773997787.6961372,125.63833618164062
1773997787.902529,133.79774475097656
