pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-10T10:39:17Z,2026-07-10T10:47:31Z,494
dynamic-pattern-dashboard-0,2026-07-10T10:39:17Z,2026-07-10T10:48:36Z,559
