recv_unix,inference_ms
1773996685.4408922,2593.19482421875
1773996688.1830025,1847.7313232421875
1773996690.0152597,1065.87353515625
1773996691.9067476,1138.6422119140625
1773996692.5934768,2310.15771484375
1773996692.8614678,935.9193725585938
1773996693.6150706,1016.8850708007812
1773996693.8935518,1016.0723876953125
1773996694.272287,650.0381469726562
1773996694.5803795,673.7825927734375
1773996695.0042987,729.398681640625
1773996695.295369,705.9203491210938
1773996696.2130046,1162.26611328125
1773996696.5526495,1256.4630126953125
1773996697.032456,849.7196044921875
1773996697.4617336,885.1395874023438
1773996697.6294923,595.3883666992188
1773996697.8725798,423.5165710449219
1773996697.9260159,293.96783447265625
1773996698.470688,594.1224365234375
1773996698.547349,616.8311767578125
1773996699.657324,1164.0489501953125
1773996699.683413,1126.0714111328125
1773996700.0943391,431.6112976074219
1773996700.1193583,422.39141845703125
1773996701.054635,912.168701171875
1773996701.844587,799.1307373046875
1773996702.2583432,406.41571044921875
1773996702.9741175,712.373779296875
1773996703.658247,676.3510131835938
1773996704.093314,431.91937255859375
1773996704.2683556,170.8194122314453
1773996704.39899,129.16383361816406
1773996704.5474024,146.15682983398438
1773996704.679819,130.73175048828125
1773996704.808466,126.99308776855469
1773996704.9269598,117.17691802978516
1773996705.0667405,138.41529846191406
1773996705.339493,271.27044677734375
1773996705.623131,282.8149719238281
1773996705.782273,157.72158813476562
1773996705.975267,190.78457641601562
1773996706.165385,188.23220825195312
1773996706.369886,202.07237243652344
1773996706.5377684,164.16925048828125
1773996706.6732543,133.7534637451172
1773996706.8291042,153.80653381347656
1773996707.013065,182.55667114257812
1773996707.1473758,131.50103759765625
1773996707.434027,238.1076202392578
1773996707.6928568,200.24383544921875
1773996707.9322162,231.97116088867188
1773996708.0632312,129.92478942871094
1773996708.4139843,345.3144226074219
1773996709.744688,1321.350830078125
