recv_unix,latency_ms
1773996685.4407775,2734.392578125
1773996688.182836,1896.7906494140625
1773996690.0150611,1076.92041015625
1773996691.9060657,1165.511474609375
1773996692.5933335,2353.3173828125
1773996692.8611672,1160.4090576171875
1773996693.6139863,1079.4459228515625
1773996693.8933954,1055.37744140625
1773996694.2721043,737.382568359375
1773996694.5791793,796.9808959960938
1773996695.0041718,821.0772705078125
1773996695.2952738,806.2313842773438
1773996696.212822,1188.0013427734375
1773996696.5525122,1469.12744140625
1773996697.032333,990.843017578125
1773996697.4616396,913.1026000976562
1773996697.6291165,843.9708251953125
1773996697.872487,589.5852661132812
1773996697.9255443,340.07684326171875
1773996698.470347,638.3630981445312
1773996698.547245,714.3604125976562
1773996699.6533587,1214.2099609375
1773996699.683123,1297.729736328125
1773996700.0939384,600.7808837890625
1773996700.1192422,625.5111083984375
1773996701.0543332,1303.2955322265625
1773996701.844377,927.0763549804688
1773996702.2581153,473.5069274902344
1773996702.9737692,889.9952392578125
1773996703.6579144,970.8399047851562
1773996704.0929384,509.5007019042969
1773996704.2678943,369.39276123046875
1773996704.3986678,207.0919647216797
1773996704.5470564,263.2277526855469
1773996704.6797192,196.84671020507812
1773996704.8081505,225.30508422851562
1773996704.9266953,137.1289520263672
1773996705.0665016,183.1939239501953
1773996705.3391583,357.6112060546875
1773996705.623067,325.0860290527344
1773996705.78217,186.97091674804688
1773996705.975131,221.96932983398438
1773996706.1652803,278.1147155761719
1773996706.3697047,286.9432373046875
1773996706.5374718,255.30792236328125
1773996706.6729863,189.50341796875
1773996706.8288403,244.90725708007812
1773996707.0128753,229.71124267578125
1773996707.1470113,258.1173400878906
1773996707.433938,249.96112060546875
1773996707.6926675,209.49087524414062
1773996707.9321508,243.57357788085938
1773996708.0631578,182.09011840820312
1773996708.4129815,428.7047424316406
1773996709.7439969,1360.742919921875
1773996710.335133,352.7607421875
