pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-26T11:51:34Z,2026-05-26T11:51:42Z,8
dynamic-pattern-dashboard-0,2026-05-26T11:51:34Z,2026-05-26T11:52:42Z,68
