pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-14T13:15:08Z,2026-07-14T13:15:49Z,41
monolithic-pattern-dashboard-0,2026-07-14T13:15:08Z,2026-07-14T13:16:16Z,68
