pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-11T17:18:10Z,2026-07-11T17:26:50Z,520
monolithic-pattern-dashboard-0,2026-07-11T17:18:10Z,2026-07-11T17:19:18Z,68
