pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-09T19:10:00Z,2026-07-09T19:16:19Z,379
dynamic-pattern-dashboard-0,2026-07-09T19:10:00Z,2026-07-09T19:11:08Z,68
