cycle,t_zero,t_fin,t_install_e2e_s,pods_running
1,2026-05-27T12:23:09Z,2026-05-27T12:24:23Z,74,3
2,2026-05-27T12:25:23Z,2026-05-27T12:26:36Z,73,3
3,2026-05-27T12:27:36Z,2026-05-27T12:28:50Z,74,3
4,2026-05-27T12:29:50Z,2026-05-27T12:31:03Z,73,3
5,2026-05-27T12:32:03Z,2026-05-27T12:33:17Z,74,3
