pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-05-21T07:36:47Z,2026-05-21T07:51:37Z,890
overlay-pattern-dashboard-0,2026-05-21T07:36:47Z,2026-05-21T07:37:55Z,68
overlay-pattern-overlay-server-7f59b6b6b9-2bhw7,2026-05-21T07:36:47Z,2026-05-21T07:36:49Z,2
