regime,cycle,started_at,finished_at,exit_code
warm,1,2026-07-12T17:46:25Z,2026-07-12T18:10:42Z,0
warm,2,2026-07-12T18:25:42Z,2026-07-12T18:43:15Z,0
warm,3,2026-07-12T18:58:15Z,2026-07-12T19:14:19Z,0
