trigger_interval_s,cycle,warmup_s,sample_s,started_at,finished_at,exit_code
60,1,600,180,2026-07-14T11:35:16Z,2026-07-14T11:51:56Z,0
120,1,600,240,2026-07-14T12:06:56Z,2026-07-14T12:24:17Z,0
