cycle,regimen,campaign_dir,started_at,finished_at,duration_s
1,cold-cold,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260601-124259,2026-06-01T12:42:59Z,2026-06-01T12:55:33Z,754
2,cold-cold,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260601-132542,2026-06-01T13:25:42Z,2026-06-01T13:40:48Z,906
