pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-10T13:19:10Z,2026-07-10T13:27:01Z,471
dynamic-pattern-dashboard-0,2026-07-10T13:19:10Z,2026-07-10T13:27:57Z,527
