pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-12T16:00:35Z,2026-07-12T16:00:44Z,9
dynamic-pattern-dashboard-0,2026-07-12T16:00:35Z,2026-07-12T16:01:43Z,68
