pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
monolithic,2026-05-26T06:59:30Z,2026-05-26T07:08:13Z,523,520,0.00,28.76,20.47,60.00,3.68,36.42,75.64,31.66,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-065929/monolithic,ok,
microservices,2026-05-26T07:21:26Z,2026-05-26T07:31:59Z,633,631,0.00,29.05,20.36,80.36,3.76,36.03,81.79,50.69,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-065929/microservices,ok,
overlay-canonical,2026-05-26T07:45:15Z,2026-05-26T08:03:25Z,1090,831,0.00,28.84,19.91,62.58,3.32,38.98,75.72,31.62,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-065929/overlay-canonical,ok,;capture_pattern_run failed
dynamic-canonical,2026-05-26T08:16:40Z,2026-05-26T08:19:38Z,178,68,0.00,270.36,3.19,324.78,45.28,21.23,26.55,30.62,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-065929/dynamic-canonical,ok,
