pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-05-26T10:50:29Z,2026-05-26T10:51:09Z,40
monolithic-pattern-dashboard-0,2026-05-26T10:50:29Z,2026-05-26T10:51:37Z,68
