pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-06-01T11:25:07Z,2026-06-01T11:25:48Z,41
overlay-pattern-dashboard-0,2026-06-01T11:25:07Z,2026-06-01T11:26:16Z,69
overlay-pattern-overlay-server-7f59b6b6b9-p84gb,2026-06-01T11:25:11Z,2026-06-01T11:25:14Z,3
