pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-26T17:32:06Z,2026-05-26T17:39:59Z,473
dynamic-pattern-dashboard-0,2026-05-26T17:32:06Z,2026-05-26T17:40:59Z,533
