pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
monolithic,2026-07-12T06:45:53Z,2026-07-12T06:47:05Z,72,68,0.00,26.52,21.64,58.04,3.03,35.64,57.04,31.97,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-064553/monolithic,ok,
microservices,2026-07-12T07:01:19Z,2026-07-12T07:03:03Z,104,100,0.00,26.26,22.85,77.58,3.22,35.07,58.83,52.16,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-064553/microservices,ok,
overlay,2026-07-12T07:17:21Z,2026-07-12T07:38:30Z,1269,971,0.00,26.24,21.38,58.49,3.34,35.48,56.54,31.92,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-064553/overlay,ok,
dynamic-loader,2026-07-12T07:52:46Z,2026-07-12T08:01:29Z,523,402,0.00,,,,,3.64,0.00,28.09,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-064553/dynamic-loader,ok,
