pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-12T05:05:47Z,2026-07-12T05:06:27Z,40
monolithic-pattern-dashboard-0,2026-07-12T05:05:47Z,2026-07-12T05:06:55Z,68
