pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
monolithic,2026-05-19T09:20:38Z,2026-05-19T09:21:49Z,71,68,0.00,33.02,10.18,96.81,9.66,20.88,44.81,32.47,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260519-092037/monolithic,ok,
microservices,2026-05-19T09:35:00Z,2026-05-19T09:36:44Z,104,102,0.00,24.70,22.29,78.70,0.67,36.42,40.27,50.09,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260519-092037/microservices,ok,
overlay-canonical,2026-05-19T09:49:59Z,,,,,,,,,,,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260519-092037/overlay-canonical,install_failed,helm install returned non-zero
dynamic-canonical,2026-05-19T10:38:51Z,2026-05-19T10:41:07Z,136,68,0.00,70.30,6.05,205.39,34.49,22.39,46.66,31.72,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260519-092037/dynamic-canonical,ok,
