pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-11T21:29:50Z,2026-07-11T21:46:21Z,991
overlay-pattern-dashboard-0,2026-07-11T21:29:50Z,2026-07-11T21:30:59Z,69
overlay-pattern-overlay-server-8585bdf96b-rsjt8,2026-07-11T21:29:50Z,2026-07-11T21:29:52Z,2
