cycle,module,op,latency_s,status,rss_kb,vmsize_kb,mem_available_kb,components_loaded,timestamp
6,yolo,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46176060,"{"loaded":[{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:43:47Z
6,yolo,load,0.23,OK,2868,4560,46174016,"{"loaded":[{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:43:53Z
6,llava,unload,0.30,FAIL,2868,4560,46178276,"{"loaded":[{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:43:59Z
6,llava,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46171556,"{"loaded":[{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:15Z
6,llava,load,0.25,OK,2868,4560,46177180,"{"loaded":[{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:21Z
6,voxtral,unload,0.28,OK,2868,4560,46180112,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:27Z
6,voxtral,load,0.29,OK,2868,4560,46172396,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:33Z
7,yolo,unload,0.27,FAIL,2868,4560,46168128,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:40Z
7,yolo,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46165940,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:44:56Z
7,yolo,load,0.25,OK,2868,4560,46166072,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:02Z
7,llava,unload,0.27,FAIL,2868,4560,46169404,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:08Z
7,llava,unload_retry,0.31,FAIL_PERSISTENT,2868,4560,46168324,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:24Z
7,llava,load,0.37,OK,2868,4560,46172000,"{"loaded":[{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:30Z
7,voxtral,unload,0.30,OK,2868,4560,46174864,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:36Z
7,voxtral,load,0.30,OK,2868,4560,46164400,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:42Z
8,yolo,unload,0.30,FAIL,2868,4560,46164000,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:45:48Z
8,yolo,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46164832,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:04Z
8,yolo,load,0.26,OK,2868,4560,46171156,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:11Z
8,llava,unload,0.27,FAIL,2868,4560,46163328,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:17Z
8,llava,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46163920,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:33Z
8,llava,load,0.29,OK,2868,4560,46165556,"{"loaded":[{"unique_id":9;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":9};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:39Z
8,voxtral,unload,0.31,OK,2868,4560,46166328,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:45Z
8,voxtral,load,0.32,OK,2868,4560,46161324,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:51Z
9,yolo,unload,0.28,FAIL,2868,4560,46165260,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:46:57Z
9,yolo,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46162872,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:13Z
9,yolo,load,0.29,OK,2868,4560,46166116,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:20Z
9,llava,unload,0.26,FAIL,2868,4560,46172020,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:26Z
9,llava,unload_retry,0.28,FAIL_PERSISTENT,2868,4560,46168592,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:42Z
