pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-09T20:50:28Z,2026-07-09T20:59:19Z,531
monolithic-pattern-dashboard-0,2026-07-09T20:50:28Z,2026-07-09T20:51:44Z,76
