pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-12T05:42:10Z,2026-07-12T05:59:01Z,1011
overlay-pattern-dashboard-0,2026-07-12T05:42:10Z,2026-07-12T05:43:18Z,68
overlay-pattern-overlay-server-8585bdf96b-x9p5m,2026-07-12T05:42:10Z,2026-07-12T05:42:13Z,3
