cycle,module,op,latency_s,status,rss_kb,vmsize_kb,mem_available_kb,components_loaded,timestamp
0,all,baseline,0,OK,15090712,70390404,45650532,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":2;"full_node_name":"ComponentManager"};{"unique_id":3;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":2;"llava":3;"voxtral":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:08Z
1,yolo,unload,0.31,OK,15090712,70390404,45649848,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":3;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:09Z
1,yolo,load,2.10,OK,15140428,70391428,45446936,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":3;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"};{"unique_id":5;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":5};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:17Z
1,llava,unload,0.31,OK,15149260,70391428,45199632,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"};{"unique_id":5;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"voxtral":4;"yolo":5};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:23Z
1,llava,load,11.90,OK,15177004,70456964,45150092,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"};{"unique_id":5;"full_node_name":"ComponentManager"};{"unique_id":6;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"voxtral":4;"yolo":5;"llava":6};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:41Z
1,voxtral,unload,0.28,OK,15177000,70456964,45190508,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":5;"full_node_name":"ComponentManager"};{"unique_id":6;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":5;"llava":6};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:47Z
1,voxtral,load,0.38,OK,15176532,70456964,45504680,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":5;"full_node_name":"ComponentManager"};{"unique_id":6;"full_node_name":"ComponentManager"};{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":5;"llava":6;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:53Z
2,yolo,unload,0.30,OK,15181732,70459716,45483652,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":6;"full_node_name":"ComponentManager"};{"unique_id":7;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":6;"voxtral":7};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:47:59Z
2,yolo,load,2.38,OK,15261032,70459716,45481404,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":6;"full_node_name":"ComponentManager"};{"unique_id":7;"full_node_name":"ComponentManager"};{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":6;"voxtral":7;"yolo":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:48:07Z
2,llava,unload,0.29,OK,15204520,70459716,45442360,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":7;"full_node_name":"ComponentManager"};{"unique_id":8;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"voxtral":7;"yolo":8};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-13T10:48:13Z
