pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-09T16:30:27Z,2026-07-09T16:31:07Z,40
monolithic-pattern-dashboard-0,2026-07-09T16:30:27Z,2026-07-09T16:31:34Z,67
