pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-19T10:38:52Z,2026-05-19T10:39:05Z,13
dynamic-pattern-dashboard-0,2026-05-19T10:38:52Z,2026-05-19T10:40:00Z,68
