pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-10T14:04:30Z,2026-07-10T14:20:51Z,981
overlay-pattern-dashboard-0,2026-07-10T14:04:30Z,2026-07-10T14:05:39Z,69
overlay-pattern-overlay-server-8585bdf96b-k765n,2026-07-10T14:04:30Z,2026-07-10T14:04:32Z,2
