pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-22T14:16:32Z,2026-05-22T14:16:42Z,10
dynamic-pattern-dashboard-0,2026-05-22T14:16:32Z,2026-05-22T14:17:40Z,68
