pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-12T07:22:19Z,2026-07-12T07:38:30Z,971
overlay-pattern-dashboard-0,2026-07-12T07:22:19Z,2026-07-12T07:23:23Z,64
overlay-pattern-overlay-server-8585bdf96b-czr4m,2026-07-12T07:22:19Z,2026-07-12T07:22:21Z,2
