pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-22T12:28:05Z,2026-05-22T12:28:15Z,10
dynamic-pattern-dashboard-0,2026-05-22T12:28:05Z,2026-05-22T12:29:13Z,68
