pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-05-18T09:41:36Z,2026-05-18T09:42:16Z,40
monolithic-pattern-dashboard-0,2026-05-18T09:41:36Z,2026-05-18T09:42:44Z,68
