pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-12T04:33:14Z,2026-07-12T04:33:24Z,10
dynamic-pattern-dashboard-0,2026-07-12T04:33:14Z,2026-07-12T04:34:22Z,68
