pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-11T20:55:20Z,2026-07-11T20:56:01Z,41
monolithic-pattern-dashboard-0,2026-07-11T20:55:20Z,2026-07-11T20:56:29Z,69
