pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
dynamic-loader,2026-07-14T14:01:51Z,2026-07-14T14:04:08Z,137,68,0.00,81.84,8.44,141.80,54.02,22.84,55.45,32.99,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260714-140150/dynamic-loader,ok,
monolithic,2026-07-14T14:19:09Z,2026-07-14T14:20:21Z,72,68,0.00,28.37,21.80,69.98,3.77,27.19,74.67,34.15,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260714-140150/monolithic,ok,
