pod,podscheduled,ready,delta_s
microservices-pattern-camera-0,2026-07-10T10:14:05Z,2026-07-10T10:14:27Z,22
microservices-pattern-dashboard-0,2026-07-10T10:14:05Z,2026-07-10T10:17:39Z,214
microservices-pattern-llava-0,2026-07-10T10:14:05Z,2026-07-10T10:24:55Z,650
microservices-pattern-voxtral-0,2026-07-10T10:14:05Z,2026-07-10T10:25:06Z,661
microservices-pattern-yolo-0,2026-07-10T10:14:05Z,2026-07-10T10:16:55Z,170
