pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
monolithic,2026-07-12T00:11:27Z,2026-07-12T00:12:38Z,71,68,0.00,28.04,21.26,58.29,3.80,36.23,73.48,32.15,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-001126/monolithic,ok,
microservices,2026-07-12T00:25:52Z,2026-07-12T00:27:35Z,103,100,0.00,27.92,20.76,80.20,4.10,35.74,73.98,52.14,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-001126/microservices,ok,
overlay,2026-07-12T00:40:53Z,2026-07-12T01:02:27Z,1294,1001,0.00,28.55,21.62,57.27,3.62,37.72,74.49,32.06,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-001126/overlay,ok,
dynamic-loader,2026-07-12T01:15:43Z,2026-07-12T01:19:38Z,235,68,0.00,259.04,3.33,312.48,109.98,24.33,39.79,53.43,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260712-001126/dynamic-loader,ok,
