pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-12T17:46:27Z,2026-07-12T17:54:46Z,499
dynamic-pattern-dashboard-0,2026-07-12T17:46:27Z,2026-07-12T17:55:42Z,555
