pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-09T15:51:03Z,2026-07-09T15:59:08Z,485
dynamic-pattern-dashboard-0,2026-07-09T15:51:03Z,2026-07-09T16:00:06Z,543
