pattern,t_zero,t_fin,t_install_e2e_s,t_ready_system_s,s_img_total_gb,t_inf_avg_ms,f_fps_pub,t_e2e_avg_ms,j_inf_ms,u_cpu_avg_pct,u_gpu_avg_pct,u_ram_avg_pct,run_dir,status,notes
monolithic,2026-05-26T20:39:33Z,2026-05-26T20:48:26Z,533,530,0.00,28.72,20.93,58.39,3.63,36.71,76.35,30.71,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-203918/monolithic,ok,
microservices,2026-05-26T21:01:44Z,2026-05-26T21:12:30Z,646,642,0.00,28.23,21.44,78.42,3.88,35.95,77.95,51.81,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-203918/microservices,ok,
overlay-canonical,2026-05-26T21:25:53Z,2026-05-26T21:45:03Z,1150,891,0.00,29.11,21.25,59.09,3.32,39.08,76.52,30.81,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-203918/overlay-canonical,ok,
dynamic-canonical,2026-05-26T21:58:32Z,2026-05-26T22:08:55Z,623,527,0.00,272.48,3.17,326.61,45.43,21.30,24.62,30.32,/home/administrador/Kubernetes-deployment-patterns/results/_campaigns/20260526-203918/dynamic-canonical,ok,
