pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-11T18:39:21Z,2026-07-11T18:47:02Z,461
dynamic-pattern-dashboard-0,2026-07-11T18:39:21Z,2026-07-11T18:48:00Z,519
