pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-26T15:25:59Z,2026-05-26T15:26:09Z,10
dynamic-pattern-dashboard-0,2026-05-26T15:25:59Z,2026-05-26T15:27:07Z,68
