pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-05-22T08:26:14Z,2026-05-22T08:40:54Z,880
overlay-pattern-dashboard-0,2026-05-22T08:26:14Z,2026-05-22T08:27:22Z,68
overlay-pattern-overlay-server-7f59b6b6b9-pqwgm,2026-05-22T08:26:14Z,2026-05-22T08:26:15Z,1
