pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-22T16:04:15Z,2026-05-22T16:04:25Z,10
dynamic-pattern-dashboard-0,2026-05-22T16:04:15Z,2026-05-22T16:05:23Z,68
