pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-10T21:42:09Z,2026-07-10T21:59:50Z,1061
overlay-pattern-dashboard-0,2026-07-10T21:42:09Z,2026-07-10T21:43:28Z,79
overlay-pattern-overlay-server-8585bdf96b-lg4xt,2026-07-10T21:42:09Z,2026-07-10T21:42:16Z,7
