pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-09T18:03:06Z,2026-07-09T18:09:16Z,370
dynamic-pattern-dashboard-0,2026-07-09T18:03:06Z,2026-07-09T18:04:13Z,67
