pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-11T19:18:51Z,2026-07-11T19:19:32Z,41
monolithic-pattern-dashboard-0,2026-07-11T19:18:51Z,2026-07-11T19:19:59Z,68
