pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-12T02:23:09Z,2026-07-12T02:39:40Z,991
overlay-pattern-dashboard-0,2026-07-12T02:23:09Z,2026-07-12T02:24:17Z,68
overlay-pattern-overlay-server-8585bdf96b-tndhp,2026-07-12T02:23:09Z,2026-07-12T02:23:11Z,2
