recv_unix,latency_ms
1773996837.4185464,9869.693359375
1773996842.2415576,4687.37451171875
1773996843.2147565,15866.2734375
1773996846.4697282,9994.8212890625
1773996846.5522127,5081.251953125
1773996849.787606,3338.67041015625
1773996849.7883468,3348.935791015625
1773996851.594866,2806.4951171875
1773996851.67186,2519.34716796875
1773996852.8978293,1842.955078125
1773996852.932509,1642.7008056640625
1773996853.818252,948.0662231445312
1773996853.863804,991.883056640625
1773996855.534769,1524.9874267578125
1773996855.9053435,1993.369873046875
1773996856.9034398,2326.4833984375
1773996857.0426846,1896.71630859375
1773996857.8821883,1013.796875
1773996857.9337466,1065.082763671875
1773996858.0432699,2523.485595703125
1773996858.7819664,998.1519775390625
1773996858.842171,1059.7274169921875
1773996858.9556696,971.7786254882812
1773996859.560623,1040.9669189453125
1773996859.715763,909.0880126953125
1773996859.9404194,1155.5645751953125
1773996860.3592553,1188.045654296875
1773996860.526371,857.065185546875
1773996860.7475762,879.7014770507812
