recv_unix,inference_ms
1773996600.7753303,468.27734375
1773996602.4045012,495.5885314941406
1773996603.6890116,400.44219970703125
1773996604.398579,439.9800720214844
1773996604.999259,594.8443603515625
1773996605.2689176,1374.32763671875
1773996605.595916,594.1508178710938
1773996605.7924669,523.24853515625
1773996606.1557028,556.44580078125
1773996606.2275426,386.9604187011719
1773996606.7199855,561.2183227539062
1773996606.8370225,607.1406860351562
1773996608.0379007,1304.21240234375
1773996608.1191728,1247.99169921875
1773996608.809632,697.366455078125
1773996608.8435583,787.4759521484375
1773996609.707131,894.5184936523438
1773996609.722628,866.4525146484375
1773996610.2034733,478.4618835449219
1773996610.213558,504.65069580078125
1773996610.6120932,404.24371337890625
1773996610.7006664,481.85626220703125
1773996611.1053925,487.8623046875
1773996611.3938744,678.8704223632812
1773996612.1641114,1054.7584228515625
1773996612.3884146,993.7323608398438
1773996612.8618705,679.9321899414062
1773996613.1744149,783.3984375
1773996613.4732969,620.4263916015625
1773996613.589387,415.1767578125
1773996613.7898018,307.805908203125
1773996613.8123531,221.3767852783203
1773996613.9019182,109.14971160888672
1773996613.9139106,99.84837341308594
1773996614.010908,95.98758697509766
1773996614.0289123,89.69924926757812
1773996614.110906,98.91658020019531
1773996614.1557004,116.61628723144531
1773996614.319727,207.82537841796875
1773996614.3715527,214.54566955566406
1773996614.5502653,228.4214630126953
1773996615.1337268,755.0201416015625
1773996615.9085667,1317.2547607421875
1773996616.1103418,969.2731323242188
1773996616.446081,531.38525390625
1773996616.5687969,419.0213317871094
1773996616.7697372,321.0238037109375
1773996616.8505778,277.43109130859375
1773996616.9984026,226.64295959472656
1773996617.0993474,246.7704620361328
1773996617.1694057,169.173828125
1773996617.548933,377.1700439453125
1773996617.6471422,459.40032958984375
1773996618.0024552,452.98291015625
1773996618.1170633,467.1215515136719
1773996618.8298702,824.31689453125
1773996619.194856,1062.9727783203125
1773996619.568824,715.7314453125
1773996619.8145325,595.0880126953125
1773996619.9278257,355.73736572265625
1773996620.205464,387.654296875
1773996620.2836027,352.10791015625
1773996620.5441065,336.5470886230469
1773996620.5735996,288.4184875488281
1773996620.7968984,218.7083740234375
1773996620.8208318,272.2510070800781
1773996621.2363877,436.7120056152344
1773996621.3375227,512.6686401367188
1773996621.544949,308.8952941894531
1773996621.60327,261.8940734863281
1773996621.798739,252.67288208007812
1773996621.8632052,256.8037414550781
1773996622.0534236,253.07542419433594
1773996622.1458936,279.9302978515625
1773996622.3202412,265.0550842285156
1773996622.453036,305.4252014160156
1773996623.073012,748.6267700195312
1773996623.479168,1019.20703125
1773996623.9683588,887.7830200195312
1773996624.0562813,565.1773681640625
1773996624.261697,290.1768798828125
1773996624.3251793,268.0606384277344
1773996624.6664565,401.7693176269531
1773996624.6667545,340.5526123046875
1773996624.9619205,293.5936279296875
1773996624.9912074,323.7032470703125
1773996625.2139468,249.92837524414062
1773996625.2533443,260.044677734375
1773996625.5094664,292.6155700683594
1773996625.566354,310.0893859863281
1773996625.9254906,410.4512939453125
1773996626.0340712,466.04754638671875
1773996626.2572055,334.4034729003906
1773996626.315353,272.7705383300781
1773996626.5906994,331.7894592285156
1773996626.6750908,357.3226623535156
1773996627.0118372,418.6537170410156
1773996627.0845082,407.9269104003906
1773996627.3248625,311.5453796386719
1773996627.4380789,349.6569519042969
1773996627.6995506,373.3953857421875
1773996627.815181,374.18206787109375
1773996627.9282966,224.31187438964844
1773996628.1282735,309.3697509765625
1773996628.327709,396.3922119140625
1773996628.5192528,389.9851379394531
1773996628.664848,336.27398681640625
1773996628.8653417,344.6081237792969
1773996629.0469666,379.36529541015625
1773996629.2835016,399.4283752441406
1773996629.3826327,332.7499694824219
