recv_unix,latency_ms
1773996600.7746885,496.1399230957031
1773996602.4040766,514.7803344726562
1773996603.6882856,409.3965759277344
1773996604.3982024,460.1709289550781
1773996604.999132,661.0618286132812
1773996605.2688377,1389.1722412109375
1773996605.5955138,719.2796020507812
1773996605.7921839,658.9889526367188
1773996606.1553018,1022.4066772460938
1773996606.2274578,395.2186279296875
1773996606.7195845,586.5960693359375
1773996606.8368716,760.1506958007812
1773996608.0372696,1399.2554931640625
1773996608.1190722,1423.6689453125
1773996608.8093467,933.2138671875
1773996608.8432696,1457.8515625
1773996609.7069602,1326.941650390625
1773996609.7225122,945.3753051757812
1773996610.203276,626.1419067382812
1773996610.2131822,636.9508056640625
1773996610.6120145,480.8011169433594
1773996610.7004597,521.4275512695312
1773996611.1050613,528.2319946289062
1773996611.3937435,752.2064819335938
1773996612.163988,1188.244873046875
1773996612.3877087,1407.957763671875
1773996612.8617747,709.8761596679688
1773996613.1739821,895.3993530273438
1773996613.4732208,897.2386474609375
1773996613.5890603,750.350830078125
1773996613.7896585,357.5867004394531
1773996613.812107,336.1684265136719
1773996613.9018307,126.55249786376953
1773996613.9138536,138.64100646972656
1773996614.010842,136.1128692626953
1773996614.028849,98.076416015625
1773996614.1108468,180.02516174316406
1773996614.1555998,124.8134994506836
1773996614.3196497,244.19503784179688
1773996614.3712955,295.91522216796875
1773996614.550004,273.36492919921875
1773996615.1335804,853.8702392578125
1773996615.908073,1331.159423828125
1773996616.1100023,1218.2745361328125
1773996616.4459524,1065.0035400390625
1773996616.5686646,484.850341796875
1773996616.7693415,392.8931579589844
1773996616.8505049,319.2574462890625
1773996616.9983182,266.3935852050781
1773996617.099169,323.8629150390625
1773996617.1690652,237.835205078125
1773996617.5488129,472.2173767089844
1773996617.646419,470.68896484375
1773996618.0021975,570.47314453125
1773996618.115901,683.7171630859375
1773996618.8297007,954.8095703125
1773996619.1944678,1213.8404541015625
1773996619.568697,916.8583984375
1773996619.8142378,680.1987915039062
1773996619.9276783,550.2979736328125
1773996620.2052038,429.40301513671875
1773996620.2832315,439.2068786621094
1773996620.5437398,367.087158203125
1773996620.5734997,396.685791015625
1773996620.796666,360.93328857421875
1773996620.8205085,444.4963684082031
1773996621.2362928,459.5258483886719
1773996621.336967,659.7179565429688
1773996621.544696,567.3051147460938
1773996621.602967,325.615966796875
1773996621.7986712,266.7711181640625
1773996621.8629637,286.3205871582031
1773996622.0533264,375.2362365722656
1773996622.145813,312.061279296875
1773996622.3201663,344.263427734375
1773996622.452857,420.5798034667969
1773996623.0727866,795.68310546875
1773996623.4786577,1042.8243408203125
1773996623.967345,1289.1331787109375
1773996624.0562072,1076.474609375
1773996624.2614913,430.8169250488281
1773996624.3251088,391.03961181640625
1773996624.6659584,434.3822326660156
1773996624.6663811,533.706787109375
1773996624.9618201,484.171875
1773996624.9911175,358.7823181152344
1773996625.2136192,280.5832214355469
1773996625.2526946,377.0443420410156
1773996625.5093768,378.40325927734375
1773996625.566213,332.6458740234375
1773996625.9253721,544.7711791992188
1773996626.0339055,501.5272521972656
1773996626.2570179,375.1288757324219
1773996626.3149476,383.1395568847656
1773996626.590312,359.0117492675781
1773996626.6747391,499.5496520996094
1773996627.011463,436.0940856933594
1773996627.084291,708.0184326171875
1773996627.3247807,392.0821533203125
1773996627.4377596,405.14959716796875
1773996627.6993787,523.940185546875
1773996627.81512,639.8284912109375
1773996627.9280357,394.62396240234375
1773996628.127406,351.0027160644531
1773996628.3276005,450.2828063964844
1773996628.5191393,442.2698669433594
1773996628.6647727,489.211181640625
1773996628.8652208,388.052490234375
1773996629.0464263,514.7391357421875
1773996629.2831676,408.2990417480469
1773996629.3824897,404.8115539550781
1773996629.5762415,445.19677734375
