pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-10T06:55:59Z,2026-07-10T07:04:39Z,520
monolithic-pattern-dashboard-0,2026-07-10T06:55:59Z,2026-07-10T06:57:20Z,81
