pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-22T20:22:53Z,2026-05-22T20:30:42Z,469
dynamic-pattern-dashboard-0,2026-05-22T20:22:53Z,2026-05-22T20:31:39Z,526
