pod,podscheduled,ready,delta_s
overlay-pattern-dashboard-0,2026-05-07T19:42:06Z,2026-05-07T19:44:38Z,152
overlay-pattern-overlay-server-7f59b6b6b9-swlwx,2026-05-07T19:42:06Z,2026-05-07T19:42:08Z,2
