recv_unix,latency_ms
1773997584.080597,3051.220458984375
1773997584.773673,1251.094970703125
1773997585.4859886,1162.021728515625
1773997589.1183186,1289.9569091796875
1773997589.642127,1610.5418701171875
1773997590.2856827,527.4476928710938
1773997591.6128993,687.7548217773438
1773997592.0666587,446.09783935546875
1773997592.9395816,217.97315979003906
1773997593.2600055,138.2564239501953
1773997593.5554452,233.68341064453125
1773997593.8672135,247.09336853027344
1773997594.8386095,517.1148071289062
1773997596.5398054,119.5426254272461
1773997596.8105257,86.79237365722656
1773997597.009331,85.15066528320312
1773997597.3295727,109.64995574951172
1773997597.6134152,92.93453979492188
1773997597.91408,191.1596221923828
1773997598.0549054,134.7323760986328
1773997598.161811,140.48675537109375
1773997598.262755,142.6130828857422
1773997598.4291017,108.98129272460938
1773997598.6358716,115.96375274658203
1773997598.832798,113.67375183105469
1773997599.0358198,116.4488296508789
1773997599.2174633,97.91770935058594
1773997599.4086385,87.5271224975586
1773997599.7192388,99.52874755859375
1773997599.937031,115.6397476196289
1773997600.3217638,96.70204162597656
