recv_unix,inference_ms
1773997584.0810547,3001.646484375
1773997584.7739727,687.605712890625
1773997585.4864473,703.1138305664062
1773997589.1188264,1169.85791015625
1773997589.6426353,513.2778930664062
1773997590.2860386,516.7312622070312
1773997591.6132333,659.0288696289062
1773997592.0668774,433.94000244140625
1773997592.9398193,199.45249938964844
1773997593.2602298,133.93508911132812
1773997593.5561922,229.80520629882812
1773997593.8674843,243.18045043945312
1773997594.8388093,497.8635559082031
1773997596.540028,107.1832504272461
1773997596.8106763,81.0910415649414
1773997597.0097873,80.99800109863281
1773997597.3296647,107.00629425048828
1773997597.6135757,89.1719970703125
1773997597.914305,188.26199340820312
1773997598.0553246,131.37208557128906
1773997598.1620972,105.42862701416016
1773997598.2628314,99.25028991699219
1773997598.4293888,105.75145721435547
1773997598.6360395,109.64204406738281
1773997598.8328688,111.24578857421875
1773997599.0361137,113.6248779296875
1773997599.2176661,95.3827896118164
1773997599.4086874,84.91162872314453
1773997599.719508,96.6501235961914
1773997599.9371185,112.44291687011719
1773997600.3219178,93.92024993896484
