pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-07-12T06:13:18Z,2026-07-12T06:13:27Z,9
dynamic-pattern-dashboard-0,2026-07-12T06:13:18Z,2026-07-12T06:14:26Z,68
