pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-05-21T08:39:11Z,2026-05-21T08:53:11Z,840
overlay-pattern-dashboard-0,2026-05-21T08:39:11Z,2026-05-21T08:40:19Z,68
overlay-pattern-overlay-server-7f59b6b6b9-zcj5s,2026-05-21T08:39:11Z,2026-05-21T08:39:14Z,3
