pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-07-10T16:33:38Z,2026-07-10T16:50:09Z,991
overlay-pattern-dashboard-0,2026-07-10T16:33:38Z,2026-07-10T16:34:46Z,68
overlay-pattern-overlay-server-8585bdf96b-9xb5b,2026-07-10T16:33:38Z,2026-07-10T16:33:40Z,2
