pod,podscheduled,ready,delta_s
overlay-pattern-0,2026-05-26T07:49:34Z,2026-05-26T08:03:25Z,831
overlay-pattern-dashboard-0,2026-05-26T07:49:34Z,2026-05-26T07:50:42Z,68
overlay-pattern-overlay-server-7f59b6b6b9-nn7w8,2026-05-26T07:49:34Z,2026-05-26T07:49:36Z,2
