pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-14T14:19:10Z,2026-07-14T14:19:51Z,41
monolithic-pattern-dashboard-0,2026-07-14T14:19:10Z,2026-07-14T14:20:18Z,68
