pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-26T08:16:41Z,2026-05-26T08:16:49Z,8
dynamic-pattern-dashboard-0,2026-05-26T08:16:41Z,2026-05-26T08:17:49Z,68
